"year.f","pred","predtrans","year","year2","year.c","predlinear","residuals","sqq"
"2007",-0.628608659422375,0.533333333333333,2007,9,-2,1.33447936565491,0.801146032321579,789
"2008",-0.432864082296279,0.648648648648649,2008,10,-1,1.33593335564358,0.68728470699493,789
"2009",-3.17805383034794,0.0416666666666668,2009,11,0,1.33738734563225,1.29572067896558,789
"2010",0.939280250098854,2.55813953488372,2010,12,1,1.33884133562091,-1.21929819926281,789
"2011",-0.543615446588981,0.580645161290323,2011,13,2,1.34029532560958,0.759650164319256,789
"2012",0.178248231406319,1.19512195121951,2012,14,3,1.34174931559825,0.146627364378733,789
"2013",0.485507815781701,1.625,2013,15,4,1.34320330558691,-0.281796694413088,789
"2014",0.847297860387204,2.33333333333333,2014,16,5,1.34465729557558,-0.988676037757756,789
"2015",-0.228841572428847,0.795454545454546,2015,17,6,1.34611128556425,0.5506567401097,789
"2016",0.659994973243045,1.93478260869565,2016,18,7,1.34756527555291,-0.58721733314274,789
"2017",-0.0588405000229331,0.942857142857143,2017,19,8,1.34901926554158,0.406162122684435,789
"2018",0.693147180559946,2,2018,20,9,1.35047325553024,-0.649526744469755,789
"2019",-0.405465108108164,0.666666666666667,2019,21,10,1.35192724551891,0.685260578852245,789
"1998",1.38629436111989,4,1998,1,-3.875,2.60916489738146,-1.39083510261854,749
"1999",0.510825623765991,1.66666666666667,1999,2,-2.875,2.28690728945506,0.620240622788393,749
"2000",0.693147180559945,2,2000,3,-1.875,1.96464968152866,-0.0353503184713364,749
"2001",-0.405465108108165,0.666666666666666,2001,4,-0.875,1.64239207360226,0.975725406935598,749
"2002",-0.22314355131421,0.8,2002,5,0.125,1.32013446567587,0.520134465675866,749
"2004",-1.79175946922805,0.166666666666667,2004,7,2.125,0.675619249823071,0.508952583156404,749
"2005",0.28768207245178,1.33333333333333,2005,8,3.125,0.353361641896673,-0.979971691436659,749
"2006",-1.38629436111989,0.25,2006,9,4.125,0.0311040339702755,-0.218895966029724,749
"1998",0.176930708159078,1.19354838709677,1998,1,-3.71428571428571,1.03563693363114,-0.157911453465631,788
"1999",-0.182321556793955,0.833333333333333,1999,2,-2.71428571428571,0.952251290601824,0.118917957268491,788
"2000",-0.187211542088147,0.829268292682927,2000,3,-1.71428571428571,0.868865647572505,0.0395973548895786,788
"2002",-0.362905493689369,0.695652173913043,2002,5,0.285714285714286,0.702094361513868,0.00644218760082416,788
"2003",-0.693147180559946,0.5,2003,6,1.28571428571429,0.618708718484549,0.118708718484549,788
"2004",-0.462623521948113,0.62962962962963,2004,7,2.28571428571429,0.53532307545523,-0.0943065541743999,788
"2006",-0.916290731874147,0.400000000000003,2006,9,4.28571428571429,0.368551789396592,-0.0314482106034109,788
"1999",0.927986771637347,2.52941176470588,1999,1,-5.27272727272727,2.83264027074593,0.303228506040044,823
"2000",0.887303195000903,2.42857142857143,2000,2,-4.27272727272727,2.88973636154814,0.461164932976707,823
"2001",0.908258560176891,2.48,2001,3,-3.27272727272727,2.94683245235034,0.466832452350341,823
"2002",1.63899671433321,5.14999999823645,2002,4,-2.27272727272727,3.00392854315255,-2.1460714550839,823
"2003",1.01764322613377,2.76666666666482,2003,5,-1.27272727272727,3.06102463395476,0.294357967289939,823
"2004",1.05605267424931,2.875,2004,6,-0.272727272727272,3.11812072475696,0.243120724756963,823
"2005",0.722134717433198,2.05882352941177,2005,7,0.727272727272728,3.17521681555917,1.1163932861474,823
"2006",1.50407739677627,4.5,2006,8,1.72727272727273,3.23231290636138,-1.26768709363863,823
"2008",1.13943428318836,3.125,2008,10,3.72727272727273,3.34650508796579,0.22150508796579,823
"2009",1.04982212449868,2.85714285714286,2009,11,4.72727272727273,3.403601178768,0.54645832162514,823
"2010",1.30833281965018,3.7,2010,12,5.72727272727273,3.4606972695702,-0.2393027304298,823
"2000",1.05314991459135,2.86666666666667,2000,1,-9.89473684210526,2.41484440986165,-0.451822256805015,865
"2001",0.93826963859293,2.55555555555556,2001,2,-8.89473684210526,2.44287730635021,-0.112678249205342,865
"2003",1.01160091167848,2.75,2003,4,-6.89473684210526,2.49894309932734,-0.251056900672659,865
"2004",0.336472236621213,1.4,2004,5,-5.89473684210526,2.5269759958159,1.1269759958159,865
"2005",0.990398704027877,2.69230769230769,2005,6,-4.89473684210526,2.55500889230447,-0.137298800003226,865
"2006",1.02450431651438,2.78571428571426,2006,7,-3.89473684210526,2.58304178879303,-0.202672496921231,865
"2007",0.356674943938724,1.42857142857142,2007,8,-2.89473684210526,2.61107468528159,1.18250325671018,865
"2008",1.50407739677627,4.5,2008,9,-1.89473684210526,2.63910758177016,-1.86089241822984,865
"2009",0.587786664902119,1.8,2009,10,-0.894736842105264,2.66714047825872,0.867140478258718,865
"2010",0.962810747509047,2.61904761904762,2010,11,0.105263157894736,2.69517337474728,0.0761257556996635,865
"2011",1.17007125265024,3.22222222222218,2011,12,1.10526315789474,2.72320627123584,-0.499015950986331,865
"2012",0.356674943933818,1.42857142856441,2012,13,2.10526315789474,2.75123916772441,1.32266773916,865
"2013",1.38629436111989,4,2013,14,3.10526315789474,2.77927206421297,-1.22072793578703,865
"2014",0.810930216216329,2.25,2014,15,4.10526315789474,2.80730496070153,0.557304960701534,865
"2015",1.28785428830664,3.625,2015,16,5.10526315789474,2.8353378571901,-0.789662142809903,865
"2016",0.693147180559945,2,2016,17,6.10526315789474,2.86337075367866,0.863370753678659,865
"2017",0.356674943938733,1.42857142857143,2017,18,7.10526315789474,2.89140365016722,1.46283222159579,865
"2018",1.91692261218206,6.8,2018,19,8.10526315789474,2.91943654665579,-3.88056345334421,865
"2019",0,1,2019,20,9.10526315789474,2.94746944314435,1.94746944314435,865
"1999",1.42403468910274,4.15384615384616,1999,1,-8.58823529411765,5.02964705380911,0.875800899962958,750
"2000",1.94591014902612,6.99999999979568,2000,2,-7.58823529411765,4.78989255975917,-2.21010744003651,750
"2001",1.75785791755237,5.8,2001,3,-6.58823529411765,4.55013806570922,-1.24986193429077,750
"2002",1.66915714713572,5.30769230769231,2002,4,-5.58823529411765,4.31038357165928,-0.997308736033028,750
"2003",1.54044504094715,4.66666666666667,2003,5,-4.58823529411765,4.07062907760933,-0.596037589057331,750
"2004",1.37732569113713,3.96428571428572,2004,6,-3.58823529411765,3.83087458355939,-0.133411130726328,750
"2005",1.00330210886378,2.7272727272727,2005,7,-2.58823529411765,3.59112008950944,0.863847362236741,750
"2006",0.318453731118535,1.375,2006,8,-1.58823529411765,3.3513655954595,1.9763655954595,750
"2007",0.223143551314209,1.25,2007,9,-0.588235294117647,3.11161110140955,1.86161110140956,750
"2008",0.847297860387204,2.33333333333333,2008,10,0.411764705882353,2.87185660735961,0.538523274026276,750
"2009",-0.125163142954006,0.882352941176471,2009,11,1.41176470588235,2.63210211330966,1.74974917213319,750
"2010",0.405465108108165,1.5,2010,12,2.41176470588235,2.39234761925972,0.892347619259719,750
"2013",0.773189888233482,2.16666666666667,2013,15,5.41176470588235,1.67308413710988,-0.493582529556782,750
"2014",1.09861228866811,3,2014,16,6.41176470588235,1.43332964305994,-1.56667035694006,750
"2015",0.860201265223112,2.36363636363637,2015,17,7.41176470588235,1.19357514900999,-1.17006121462637,750
"2016",-0.0953101798043252,0.909090909090909,2016,18,8.41176470588235,0.95382065496005,0.0447297458691414,750
"2017",0.095310179804325,1.1,2017,19,9.41176470588235,0.714066160910105,-0.385933839089895,750
"2002",0.448024722526961,1.56521739130435,2002,1,-7.4,0.778447384514736,-0.786770006789613,826
"2003",-0.893817876022096,0.409090909090909,2003,2,-6.4,0.785664817679573,0.376573908588664,826
"2004",-0.405465108108165,0.666666666666666,2004,3,-5.4,0.79288225084441,0.126215584177744,826
"2005",-0.430782916092454,0.65,2005,4,-4.4,0.800099684009247,0.150099684009247,826
"2006",-0.864997437486605,0.421052631578947,2006,5,-3.4,0.807317117174084,0.386264485595137,826
"2007",0.305381649551182,1.35714285714286,2007,6,-2.4,0.814534550338921,-0.542608306803937,826
"2008",-0.51082562376599,0.600000000000001,2008,7,-1.4,0.821751983503758,0.221751983503757,826
"2009",-0.348306694268216,0.705882352941177,2009,8,-0.4,0.828969416668595,0.123087063727418,826
"2010",-2.77555756156289e-16,1,2010,9,0.6,0.836186849833432,-0.163813150166568,826
"2012",-0.405465108108164,0.666666666666667,2012,11,2.6,0.850621716163106,0.183955049496439,826
"2013",-0.619039208406223,0.538461538461539,2013,12,3.6,0.857839149327942,0.319377610866404,826
"2014",-0.619039208406223,0.538461538461539,2014,13,4.6,0.865056582492779,0.326595044031241,826
"2015",0.143100843640673,1.15384615384615,2015,14,5.6,0.872274015657616,-0.281572138188538,826
"2016",0.0606246218164348,1.0625,2016,15,6.6,0.879491448822453,-0.183008551177547,826
"2017",0.133531392624523,1.14285714285714,2017,16,7.6,0.88670888198729,-0.256148260869853,826
"2003",0.744440474947495,2.10526315789474,2003,1,-7.5,2.23095465117612,0.125691493281388,825
"2004",0.893817876022096,2.44444444444444,2004,2,-6.5,2.22000371437503,-0.22444073006941,825
"2005",0.823200308808143,2.27777777777778,2005,3,-5.5,2.20905277757394,-0.0687250002038335,825
"2006",1.02961941718116,2.8,2006,4,-4.5,2.19810184077285,-0.601898159227144,825
"2007",0.446287102628419,1.5625,2007,5,-3.5,2.18715090397176,0.624650903971765,825
"2008",0.646627164925052,1.90909090909091,2008,6,-2.5,2.17619996717067,0.267109058079765,825
